GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
argouml-sql,org.argouml.language.sql,ForeignKeyDefinition,89,119,8,4,26,39,13,20,9,18
argouml-sql,org.argouml.language.sql,SqlCreatorLoader,291,0,22,0,62,0,16,0,5,0
argouml-sql,org.argouml.language.sql,MySqlCodeCreator,233,0,18,0,57,0,14,0,5,0
argouml-sql,org.argouml.language.sql,ModelValidator,339,135,33,15,62,42,22,11,3,6
argouml-sql,org.argouml.language.sql,ColumnDefinition,80,24,2,0,33,10,18,5,17,5
argouml-sql,org.argouml.language.sql,DomainMapper,397,0,20,0,114,0,22,0,12,0
argouml-sql,org.argouml.language.sql,FirebirdSqlCodeCreator,4,538,2,18,1,120,2,16,0,8
argouml-sql,org.argouml.language.sql,TableDefinition,22,55,0,0,7,16,5,7,5,7
argouml-sql,org.argouml.language.sql,GeneratorSql,722,0,66,0,184,0,49,0,16,0
argouml-sql,org.argouml.language.sql,SqlInit,38,0,4,0,15,0,9,0,6,0
argouml-sql,org.argouml.language.sql,Utils,195,226,21,25,46,60,17,22,5,11
argouml-sql,org.argouml.language.sql,IndexDefinition,31,0,0,0,13,0,9,0,9,0
argouml-sql,org.argouml.language.sql.reveng,Modeller,414,0,52,0,113,0,46,0,20,0
argouml-sql,org.argouml.language.sql.reveng,ModellerP,253,0,32,0,59,0,18,0,2,0
argouml-sql,org.argouml.language.sql.reveng,SqlImportSettings,258,0,16,0,66,0,22,0,14,0
argouml-sql,org.argouml.language.sql.reveng,MySqlLexer.DFA11,35,0,0,0,12,0,2,0,2,0
argouml-sql,org.argouml.language.sql.reveng,MySqlParser.table_name_return,3,0,0,0,1,0,1,0,1,0
argouml-sql,org.argouml.language.sql.reveng,MySqlParser.data_length_return,3,0,0,0,1,0,1,0,1,0
argouml-sql,org.argouml.language.sql.reveng,SqlServerLexer.DFA10,35,0,0,0,12,0,2,0,2,0
argouml-sql,org.argouml.language.sql.reveng,MySqlParser,4616,0,321,0,978,0,215,0,38,0
argouml-sql,org.argouml.language.sql.reveng,ANTLRNoCaseInputStreamReader,33,0,6,0,9,0,5,0,2,0
argouml-sql,org.argouml.language.sql.reveng,MySqlLexer,2628,0,220,0,560,0,193,0,58,0
argouml-sql,org.argouml.language.sql.reveng,MySqlParser.data_type_return,3,0,0,0,1,0,1,0,1,0
argouml-sql,org.argouml.language.sql.reveng,SqlServerLexer,3370,0,231,0,673,0,221,0,73,0
argouml-sql,org.argouml.language.sql.reveng,ModellerC,296,0,52,0,69,0,28,0,2,0
argouml-sql,org.argouml.language.sql.reveng,SqlServerParser,5623,0,337,0,1127,0,234,0,44,0
argouml-sql,org.argouml.language.sql.reveng,SqlServerParser.data_length_return,3,0,0,0,1,0,1,0,1,0
argouml-sql,org.argouml.language.sql.reveng,SqlImport,372,0,11,0,92,0,19,0,12,0
argouml-sql,org.argouml.ui,SelectCodeCreatorDialog,175,0,8,0,41,0,8,0,4,0
argouml-sql,org.argouml.ui,SettingsTabSql,258,0,6,0,54,0,13,0,10,0
argouml-sql,org.argouml.ui,GridBagUtils,181,0,6,0,44,0,17,0,14,0
argouml-sql,org.argouml.ui,SelectCodeCreatorDialog.new ListSelectionListener() {...},23,0,2,0,5,0,3,0,2,0
argouml-sql,org.argouml.ui,SettingsTabSql.TableModelDomainMappings,156,0,22,0,35,0,20,0,9,0
argouml-sql,org.argouml.ui,TableModelCodeCreators,67,0,10,0,19,0,11,0,6,0
